name,iterations,total,mean,median,min,max,s-dev,ci (95%)
std::find vector<int>(10), 10, 53300, 160, 200, 100, 200, 48.979588, 30.357864 
std::find vector<int>(10), 100, 215600, 127, 100, 0, 300, 50.695168, 9.9362526 
std::find vector<int>(10), 1000, 2074400, 132.60001, 100, 0, 400, 51.925243, 3.2183599 
std::find vector<int>(10), 10000, 17185200, 112.5, 100, 0, 2600, 52.368916, 1.0264307 
std::find vector<int>(10), 100000, 222212400, 249.341, 100, 0, 7126800, 25773.818, 159.74779 
std::find vector<int>(100), 10, 97100, 170, 200, 100, 300, 64.02343, 39.682133 
std::find vector<int>(100), 100, 690300, 170, 200, 100, 300, 47.947887, 9.3977861 
std::find vector<int>(100), 1000, 7222800, 176.3, 200, 100, 5500, 177.72897, 11.015756 
std::find vector<int>(100), 10000, 76129600, 247.10001, 200, 0, 542700, 5450.7363, 106.83443 
std::find vector<int>(100), 100000, 767889100, 195.60201, 200, 0, 400500, 1690.3579, 10.476947 
std::find vector<int>(1000), 10, 357400, 260, 300, 100, 500, 101.97549, 63.205063 
std::find vector<int>(1000), 100, 4704800, 232, 200, 100, 600, 100.87121, 19.770758 
std::find vector<int>(1000), 1000, 37961000, 209.39999, 200, 100, 7900, 264.06497, 16.366917 
std::find vector<int>(1000), 10000, 448996500, 222.86, 200, 0, 36200, 514.36011, 10.081458 
std::find vector<int>(1000), 100000, 3072765200, 205.812, 200, 0, 1140300, 4112.4238, 25.489067 
std::find vector<int>(10000), 10, 3854700, 250, 300, 100, 400, 80.616379, 49.966549 
std::find vector<int>(10000), 100, 33458900, 255, 200, 100, 800, 118.63389, 23.252243 
std::find vector<int>(10000), 1000, 279765700, 234.3, 200, 0, 3400, 166.58974, 10.325339 
std::find vector<int>(10000), 10000, 2004528300, 176.98, 200, 0, 17300, 325.20108, 6.3739414 
std::find vector<int>(10000), 100000, 18990768300, 171.916, 100, 0, 115800, 573.85217, 3.5567727 
std::find vector<int>(100000), 10, 27037000, 340, 300, 200, 800, 174.35309, 108.06516 
std::find vector<int>(100000), 100, 240765700, 236, 200, 100, 800, 107.25204, 21.0214 
std::find vector<int>(100000), 1000, 2233535400, 261.89999, 200, 100, 17400, 552.01215, 34.214069 
std::find vector<int>(100000), 10000, 21556910100, 284.07001, 200, 100, 186500, 1944.3676, 38.109604 
std::find vector<int>(100000), 100000, 214963706200, 266.47198, 200, 0, 144700, 738.65967, 4.5782599 
std::find vector<int>(1000000), 10, 244115000, 470, 500, 300, 700, 109.99545, 68.175888 
std::find vector<int>(1000000), 100, 2452407600, 464, 400, 200, 900, 143.18869, 28.064983 
std::find vector<int>(1000000), 1000, 24704808300, 498.60001, 400, 200, 17700, 704.31464, 43.653873 
std::find vector<int>(1000000), 10000, 245815693100, 534.34003, 500, 200, 93700, 1251.9485, 24.538191 
std::find vector<int>(1000000), 100000, 2473242156900, 513.40002, 500, 200, 76600, 698.33661, 4.3283353 
std::binary_search vector<int>(10), 10, 20300, 110, 100, 100, 200, 29.983328, 18.58386 
std::binary_search vector<int>(10), 100, 138400, 95, 100, 0, 200, 35.693138, 6.9958553 
std::binary_search vector<int>(10), 1000, 1383600, 116, 100, 0, 17000, 535.52014, 33.191883 
std::binary_search vector<int>(10), 10000, 11180700, 93.82, 100, 0, 15900, 162.96645, 3.1941423 
std::binary_search vector<int>(10), 100000, 118495000, 96.202003, 100, 0, 57800, 337.68777, 2.0930107 
std::binary_search vector<int>(100), 10, 70000, 110, 100, 100, 200, 29.983328, 18.58386 
std::binary_search vector<int>(100), 100, 659100, 118, 100, 100, 200, 38.405727, 7.5275226 
std::binary_search vector<int>(100), 1000, 6254100, 123.1, 100, 0, 1800, 67.64106, 4.1924362 
std::binary_search vector<int>(100), 10000, 63874500, 132.08, 100, 0, 20300, 390.36768, 7.6512065 
std::binary_search vector<int>(100), 100000, 639179000, 129.22701, 100, 0, 22200, 338.3898, 2.0973618 
std::binary_search vector<int>(1000), 10, 603300, 170, 200, 100, 200, 45.814846, 28.396336 
std::binary_search vector<int>(1000), 100, 6049000, 151, 100, 100, 300, 53.833076, 10.551283 
std::binary_search vector<int>(1000), 1000, 59509800, 147.2, 100, 100, 500, 59.254818, 3.6726518 
std::binary_search vector<int>(1000), 10000, 596526500, 157.71001, 100, 0, 36200, 549.72284, 10.774568 
std::binary_search vector<int>(1000), 100000, 6089273800, 163.582, 100, 0, 133900, 761.87335, 4.7221398 
std::binary_search vector<int>(10000), 10, 5760400, 240, 200, 100, 400, 119.99583, 74.374191 
std::binary_search vector<int>(10000), 100, 52381000, 196, 200, 100, 600, 77.349854, 15.160572 
std::binary_search vector<int>(10000), 1000, 522278900, 194.10001, 200, 100, 600, 69.958443, 4.3360691 
std::binary_search vector<int>(10000), 10000, 5240391200, 207.83, 200, 100, 39000, 538.01154, 10.545027 
std::binary_search vector<int>(10000), 100000, 52230400100, 206.146, 200, 0, 35600, 451.20157, 2.7965763 
std::binary_search vector<int>(100000), 10, 53105100, 330, 300, 200, 500, 78.096092, 48.404461 
std::binary_search vector<int>(100000), 100, 544044700, 355, 300, 200, 1000, 141.68274, 27.769817 
std::binary_search vector<int>(100000), 1000, 5366619800, 404.89999, 300, 100, 20500, 744.15314, 46.123089 
std::binary_search vector<int>(100000), 10000, 53755094300, 396.51999, 300, 100, 42700, 629.82825, 12.344634 
std::binary_search vector<int>(100000), 100000, 541750526100, 409.685, 300, 100, 153600, 913.1499, 5.6597619 
std::binary_search vector<int>(1000000), 10, 568255300, 1310, 1400, 700, 2200, 480.5195, 297.82907 
std::binary_search vector<int>(1000000), 100, 5706699500, 1343, 1300, 500, 18300, 1759.1053, 344.78467 
std::binary_search vector<int>(1000000), 1000, 56949048600, 1315.8, 1200, 400, 21800, 1367.3521, 84.749359 
std::binary_search vector<int>(1000000), 10000, 571191611800, 1292.59, 1300, 400, 92100, 1568.8528, 30.749516 
std::binary_search vector<int>(1000000), 100000, 5755900858300, 1321.187, 1300, 300, 218900, 1650.1125, 10.227504 
htk::binary_search vector<int>(10), 10, 30300, 180, 200, 100, 200, 39.987499, 24.78451 
htk::binary_search vector<int>(10), 100, 214800, 141, 100, 100, 200, 49.173164, 9.6379404 
htk::binary_search vector<int>(10), 1000, 1385800, 106.2, 100, 0, 400, 35.504517, 2.2005928 
htk::binary_search vector<int>(10), 10000, 12455400, 105.95, 100, 0, 25200, 314.32397, 6.1607499 
htk::binary_search vector<int>(10), 100000, 126376700, 108.538, 100, 0, 149300, 552.96185, 3.4272931 
htk::binary_search vector<int>(100), 10, 71000, 120, 100, 100, 200, 39.987499, 24.78451 
htk::binary_search vector<int>(100), 100, 650700, 122, 100, 0, 200, 43.760712, 8.5770998 
htk::binary_search vector<int>(100), 1000, 6693100, 130.89999, 100, 0, 400, 51.324093, 3.1811004 
htk::binary_search vector<int>(100), 10000, 67527800, 144.12, 100, 0, 18700, 427.59912, 8.3809433 
htk::binary_search vector<int>(100), 100000, 674363500, 143.235, 100, 0, 135800, 647.94641, 4.0160136 
htk::binary_search vector<int>(1000), 10, 566600, 130, 100, 100, 200, 45.814846, 28.396336 
htk::binary_search vector<int>(1000), 100, 6111700, 138, 100, 0, 400, 67.490738, 13.228185 
htk::binary_search vector<int>(1000), 1000, 61456000, 141.60001, 100, 0, 900, 67.885155, 4.2075658 
htk::binary_search vector<int>(1000), 10000, 623166900, 156.21001, 100, 0, 24500, 416.991, 8.1730242 
htk::binary_search vector<int>(1000), 100000, 6289659600, 161.05099, 100, 0, 102200, 673.40302, 4.1737952 
htk::binary_search vector<int>(10000), 10, 5146200, 130, 100, 100, 200, 45.814846, 28.396336 
htk::binary_search vector<int>(10000), 100, 54809100, 215, 200, 100, 700, 110.78809, 21.714466 
htk::binary_search vector<int>(10000), 1000, 543301600, 194.5, 200, 0, 1900, 123.76823, 7.6712341 
htk::binary_search vector<int>(10000), 10000, 5608357200, 233.97, 200, 0, 63500, 825.55554, 16.180889 
htk::binary_search vector<int>(10000), 100000, 52891040500, 196.494, 200, 0, 164200, 1023.0981, 6.3412275 
htk::binary_search vector<int>(100000), 10, 53851100, 360, 200, 100, 900, 265.32809, 164.45206 
htk::binary_search vector<int>(100000), 100, 532137600, 353, 300, 100, 800, 162.75749, 31.900469 
htk::binary_search vector<int>(100000), 1000, 5360628200, 360.89999, 300, 100, 1900, 173.60854, 10.760368 
htk::binary_search vector<int>(100000), 10000, 53655366700, 370.95999, 300, 0, 14000, 377.81845, 7.405242 
htk::binary_search vector<int>(100000), 100000, 574010561500, 504.57999, 400, 0, 236000, 1434.611, 8.8918114 
htk::binary_search vector<int>(1000000), 10, 678742700, 1330, 1200, 1100, 1800, 260.95786, 161.74336 
htk::binary_search vector<int>(1000000), 100, 6061645400, 1342, 1100, 500, 14300, 1535.3936, 300.93713 
htk::binary_search vector<int>(1000000), 1000, 61873634400, 1315.7, 1200, 300, 84500, 2760.4436, 171.09407 
htk::binary_search vector<int>(1000000), 10000, 605703817100, 1225.34, 1200, 200, 47100, 1144.8865, 22.439775 
htk::binary_search vector<int>(1000000), 100000, 5719570434900, 1114.8335, 1100, 200, 392200, 1843.6448, 11.427029 
htk::linear_search vector<int>(10), 10, 23500, 80, 100, 0, 100, 39.987499, 24.78451 
htk::linear_search vector<int>(10), 100, 120600, 79, 100, 0, 100, 40.718548, 7.9808354 
htk::linear_search vector<int>(10), 1000, 1155500, 81, 100, 0, 100, 39.217342, 2.430716 
htk::linear_search vector<int>(10), 10000, 11320300, 87.099998, 100, 0, 17500, 266.01566, 5.2139068 
htk::linear_search vector<int>(10), 100000, 116331100, 85.807999, 100, 0, 33500, 198.29141, 1.229023 
htk::linear_search vector<int>(100), 10, 70400, 120, 100, 100, 200, 39.987499, 24.78451 
htk::linear_search vector<int>(100), 100, 602800, 111, 100, 0, 200, 46.669048, 9.1471338 
htk::linear_search vector<int>(100), 1000, 6389400, 143.10001, 100, 0, 18400, 584.8338, 36.248375 
htk::linear_search vector<int>(100), 10000, 63002800, 124.27, 100, 0, 2400, 59.052338, 1.1574259 
htk::linear_search vector<int>(100), 100000, 623639900, 126.395, 100, 0, 74000, 347.61478, 2.1545386 
htk::linear_search vector<int>(1000), 10, 603900, 420, 500, 0, 700, 213.53923, 132.35298 
htk::linear_search vector<int>(1000), 100, 5801900, 383, 400, 100, 700, 184.95946, 36.252056 
htk::linear_search vector<int>(1000), 1000, 59078000, 441.39999, 400, 0, 20200, 787.49426, 48.809402 
htk::linear_search vector<int>(1000), 10000, 582771300, 419.62, 400, 0, 17900, 509.73285, 9.9907637 
htk::linear_search vector<int>(1000), 100000, 5848166200, 421.98901, 400, 0, 50600, 554.67242, 3.4378953 
htk::linear_search vector<int>(10000), 10, 5400200, 3030, 2800, 100, 6600, 2128.8728, 1319.489 
htk::linear_search vector<int>(10000), 100, 50915200, 3679, 3300, 300, 23100, 2805.4697, 549.87207 
htk::linear_search vector<int>(10000), 1000, 512398200, 3506.8, 3500, 100, 25100, 2318.7656, 143.71858 
htk::linear_search vector<int>(10000), 10000, 5121330000, 3482.47, 3400, 0, 47000, 2412.8135, 47.291145 
htk::linear_search vector<int>(10000), 100000, 51758054400, 3577.3762, 3400, 0, 519200, 3471.9446, 21.519337 
htk::linear_search vector<int>(100000), 10, 53829300, 38620, 30500, 15100, 77800, 20407.732, 12648.844 
htk::linear_search vector<int>(100000), 100, 526212800, 34208, 35500, 200, 117900, 21460.875, 4206.3315 
htk::linear_search vector<int>(100000), 1000, 5278481000, 32551.1, 31900, 100, 161700, 21038.932, 1304.0065 
htk::linear_search vector<int>(100000), 10000, 52724263400, 34364.879, 33200, 100, 348400, 22930.594, 449.43964 
htk::linear_search vector<int>(100000), 100000, 529720384700, 34773.359, 33600, 100, 931100, 23864.041, 147.91086 
htk::linear_search vector<int>(1000000), 10, 563856000, 355710, 433800, 27600, 617600, 205802.47, 127557.7 
htk::linear_search vector<int>(1000000), 100, 5654361800, 337105, 287400, 500, 1005400, 215137.45, 42166.941 
htk::linear_search vector<int>(1000000), 1000, 56595192500, 362115, 360700, 300, 1117200, 207004.28, 12830.259 
htk::linear_search vector<int>(1000000), 10000, 573493351400, 361814.28, 343700, 300, 25395400, 349337.91, 6847.0229 
htk::linear_search vector<int>(1000000), 100000, 5985915099500, 391704.28, 370500, 300, 22864300, 287186.59, 1780.001 
std::sort vector<int>(10), 10, 31100, 330, 300, 300, 400, 45.814846, 28.396336 
std::sort vector<int>(10), 100, 201600, 260, 300, 200, 400, 52.905575, 10.369493 
std::sort vector<int>(10), 1000, 1143900, 190.3, 200, 100, 400, 46.849953, 2.9037902 
std::sort vector<int>(10), 10000, 15827800, 263.87, 200, 100, 349400, 3496.5674, 68.532722 
std::sort vector<int>(10), 100000, 130855000, 206.42999, 200, 100, 109700, 448.77899, 2.7815611 
std::sort vector<int>(100), 10, 73200, 3230, 3300, 2800, 3800, 264.76215, 164.10129 
std::sort vector<int>(100), 100, 625700, 2981, 3000, 2500, 3500, 163.51758, 32.049446 
std::sort vector<int>(100), 1000, 7031900, 3128.1001, 3000, 2400, 17600, 796.26569, 49.353058 
std::sort vector<int>(100), 10000, 84935000, 3521.47, 3400, 2500, 260300, 3261.2874, 63.921234 
std::sort vector<int>(100), 100000, 796852000, 3437.4116, 3100, 2300, 623500, 4166.1899, 25.822313 
std::sort vector<int>(1000), 10, 798800, 47280, 48000, 42400, 49900, 2087.9653, 1294.1344 
std::sort vector<int>(1000), 100, 7273400, 43734, 39100, 36800, 107300, 10695.853, 2096.3872 
std::sort vector<int>(1000), 1000, 62507100, 41007.898, 38300, 36900, 397100, 15764.509, 977.09442 
std::sort vector<int>(1000), 10000, 603309600, 39623.055, 37300, 35500, 621400, 11675.172, 228.83337 
std::sort vector<int>(1000), 100000, 6680435700, 42548.18, 38400, 35000, 5093000, 26166.869, 162.18394 
std::sort vector<int>(10000), 10, 5858000, 361770, 331600, 325500, 430700, 41172.441, 25518.943 
std::sort vector<int>(10000), 100, 63596600, 382738, 379000, 324700, 565900, 55351.168, 10848.829 
std::sort vector<int>(10000), 1000, 652537400, 395908.81, 390800, 322700, 1555100, 105063.57, 6511.9077 
std::sort vector<int>(10000), 10000, 6441005500, 393686.16, 355800, 310100, 7719300, 181911.2, 3565.4597 
std::sort vector<int>(10000), 100000, 56794825100, 359241.69, 329800, 307100, 26439500, 136878.75, 848.3833 
std::sort vector<int>(100000), 10, 53654200, 3166100, 3148500, 3034200, 3491200, 128478.88, 79632.031 
std::sort vector<int>(100000), 100, 608371000, 3502163.8, 3272400, 3004200, 5647100, 507096.09, 99390.836 
std::sort vector<int>(100000), 1000, 5635851400, 3373434.5, 3206900, 3002800, 8044000, 402875, 24970.451 
std::sort vector<int>(100000), 10000, 56248524300, 3364293.8, 3206100, 2982900, 12934900, 390660.5, 7656.9458 
std::sort vector<int>(100000), 100000, 565812150000, 3379415.3, 3204600, 2957500, 110618800, 548602.63, 3400.2744 
std::sort vector<int>(1000000), 10, 563538800, 32177178, 32206700, 31646100, 33220700, 450337.94, 279122.34 
std::sort vector<int>(1000000), 100, 5961955400, 33470296, 32347200, 30846500, 47001300, 2642062.5, 517844.25 
std::sort vector<int>(1000000), 1000, 61894392900, 34612316, 32826100, 30752300, 519818600, 15710959, 973775.38 
std::sort vector<int>(1000000), 10000, 605818817500, 33895524, 32570600, 30507100, 119990400, 3827413, 75017.297 
std::sort vector<int>(1000000), 100000, 5817104898400, 32797682, 32036500, 30103500, 311119000, 3086449.3, 19130.012 
